experiment_id,phase,corpus_variant,regime,seed,model,control,Train_N,Validation_N,Test_N,split_sha256,selected_parameters,Validation_MCC,Test_MCC,primary_result_source,machine_readable_source,phase_classification,git_commit,verification_status
UNCAPPED/A/2026/M2/FULL_FEATURE,P3-06,UNCAPPED,A,2026,M2,FULL_FEATURE,86907,18624,18624,seed_2026,"{""learning_rate"": 0.1, ""max_iter"": 200, ""max_leaf_nodes"": 63}",0.8990032024102991,0.9030554020326335,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_2026/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/A/2026/M3/FULL_FEATURE,P3-06,UNCAPPED,A,2026,M3,FULL_FEATURE,86907,18624,18624,seed_2026,"{""C"": 10.0, ""max_features"": 50000}",0.9747771535487606,0.9768127117484725,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_2026/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/A/42/M1/FULL_FEATURE,P3-06,UNCAPPED,A,42,M1,FULL_FEATURE,86907,18624,18624,seed_42,"{""C"": 1.0}",0.5949521405404172,0.6003879462026439,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_42/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/A/42/M2/FULL_FEATURE,P3-06,UNCAPPED,A,42,M2,FULL_FEATURE,86907,18624,18624,seed_42,"{""learning_rate"": 0.1, ""max_iter"": 200, ""max_leaf_nodes"": 63}",0.9030716826374481,0.9056056233411224,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_42/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/A/42/M3/FULL_FEATURE,P3-06,UNCAPPED,A,42,M3,FULL_FEATURE,86907,18624,18624,seed_42,"{""C"": 10.0, ""max_features"": 50000}",0.9726864296607666,0.9758427426919889,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_42/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/A/73/M1/FULL_FEATURE,P3-06,UNCAPPED,A,73,M1,FULL_FEATURE,86907,18624,18624,seed_73,"{""C"": 10.0}",0.6192880410503333,0.6259747785058835,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_73/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/A/73/M2/FULL_FEATURE,P3-06,UNCAPPED,A,73,M2,FULL_FEATURE,86907,18624,18624,seed_73,"{""learning_rate"": 0.1, ""max_iter"": 200, ""max_leaf_nodes"": 63}",0.9058420286926154,0.9091524887761252,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_73/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/A/73/M3/FULL_FEATURE,P3-06,UNCAPPED,A,73,M3,FULL_FEATURE,86907,18624,18624,seed_73,"{""C"": 10.0, ""max_features"": 50000}",0.9723404648946797,0.9735617759820889,docs/reports/phase3_p3_06_regime_a_five_seed_2026-08-28.md,data/interim/phase3/p3_06_regime_a_five_seed/seed_73/test_metrics.csv,P3_06_REGIME_A_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/123/M1/FULL_FEATURE,P3-07,UNCAPPED,C,123,M1,FULL_FEATURE,86931,18665,18028,seed_123,"{""C"": 0.01}",0.2561744628548495,0.5482140168242333,docs/reports/phase3_p3_07_regime_c_multi_seed_2026-08-28.md,data/interim/phase3/p3_07_regime_c_multi_seed/seed_123/test_metrics.csv,P3_07_REGIME_C_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/123/M2/FULL_FEATURE,P3-07,UNCAPPED,C,123,M2,FULL_FEATURE,86931,18665,18028,seed_123,"{""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 31}",0.6573300481622197,0.7800841476358742,docs/reports/phase3_p3_07_regime_c_multi_seed_2026-08-28.md,data/interim/phase3/p3_07_regime_c_multi_seed/seed_123/test_metrics.csv,P3_07_REGIME_C_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/123/M3/FULL_FEATURE,P3-07,UNCAPPED,C,123,M3,FULL_FEATURE,86931,18665,18028,seed_123,"{""C"": 1.0, ""max_features"": 50000}",0.8882234158110759,0.8394232957251493,docs/reports/phase3_p3_07_regime_c_multi_seed_2026-08-28.md,data/interim/phase3/p3_07_regime_c_multi_seed/seed_123/test_metrics.csv,P3_07_REGIME_C_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/1234/M1/FULL_FEATURE,P3-07,UNCAPPED,C,1234,M1,FULL_FEATURE,86931,18665,18057,seed_1234,"{""C"": 0.01}",0.40594889286770924,0.6251349086000986,docs/reports/phase3_p3_07_regime_c_multi_seed_2026-08-28.md,data/interim/phase3/p3_07_regime_c_multi_seed/seed_1234/test_metrics.csv,P3_07_REGIME_C_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/1234/M2/FULL_FEATURE,P3-07,UNCAPPED,C,1234,M2,FULL_FEATURE,86931,18665,18057,seed_1234,"{""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 31}",0.8477065045553404,0.8078378433180308,docs/reports/phase3_p3_07_regime_c_multi_seed_2026-08-28.md,data/interim/phase3/p3_07_regime_c_multi_seed/seed_1234/test_metrics.csv,P3_07_REGIME_C_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/1234/M3/FULL_FEATURE,P3-07,UNCAPPED,C,1234,M3,FULL_FEATURE,86931,18665,18057,seed_1234,"{""C"": 1.0, ""max_features"": 50000}",0.8972627807460459,0.8827129641013827,docs/reports/phase3_p3_07_regime_c_multi_seed_2026-08-28.md,data/interim/phase3/p3_07_regime_c_multi_seed/seed_1234/test_metrics.csv,P3_07_REGIME_C_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/456/M1/FULL_FEATURE,P3-07,UNCAPPED,C,456,M1,FULL_FEATURE,86931,18665,14975,seed_456,"{""C"": 1.0}",0.5475447955047268,0.6054253829972591,docs/reports/phase3_p3_07_regime_c_multi_seed_2026-08-28.md,data/interim/phase3/p3_07_regime_c_multi_seed/seed_456/test_metrics.csv,P3_07_REGIME_C_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/456/M2/FULL_FEATURE,P3-07,UNCAPPED,C,456,M2,FULL_FEATURE,86931,18665,14975,seed_456,"{""learning_rate"": 0.1, ""max_iter"": 200, ""max_leaf_nodes"": 63}",0.7414078804653551,0.7020391037945702,docs/reports/phase3_p3_07_regime_c_multi_seed_2026-08-28.md,data/interim/phase3/p3_07_regime_c_multi_seed/seed_456/test_metrics.csv,P3_07_REGIME_C_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/456/M3/FULL_FEATURE,P3-07,UNCAPPED,C,456,M3,FULL_FEATURE,86931,18665,14975,seed_456,"{""C"": 10.0, ""max_features"": 25000}",0.9017335729908686,0.8656947554449653,docs/reports/phase3_p3_07_regime_c_multi_seed_2026-08-28.md,data/interim/phase3/p3_07_regime_c_multi_seed/seed_456/test_metrics.csv,P3_07_REGIME_C_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/789/M1/FULL_FEATURE,P3-07,UNCAPPED,C,789,M1,FULL_FEATURE,86931,18665,18548,seed_789,"{""C"": 0.01}",0.6743214190594601,0.6399716516527564,docs/reports/phase3_p3_07_regime_c_multi_seed_2026-08-28.md,data/interim/phase3/p3_07_regime_c_multi_seed/seed_789/test_metrics.csv,P3_07_REGIME_C_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/789/M2/FULL_FEATURE,P3-07,UNCAPPED,C,789,M2,FULL_FEATURE,86931,18665,18548,seed_789,"{""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 63}",0.6682702924255879,0.8557415650678833,docs/reports/phase3_p3_07_regime_c_multi_seed_2026-08-28.md,data/interim/phase3/p3_07_regime_c_multi_seed/seed_789/test_metrics.csv,P3_07_REGIME_C_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/789/M3/FULL_FEATURE,P3-07,UNCAPPED,C,789,M3,FULL_FEATURE,86931,18665,18548,seed_789,"{""C"": 1.0, ""max_features"": 50000}",0.8649678877563269,0.9027884442107775,docs/reports/phase3_p3_07_regime_c_multi_seed_2026-08-28.md,data/interim/phase3/p3_07_regime_c_multi_seed/seed_789/test_metrics.csv,P3_07_REGIME_C_FIVE_SEED_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
CAP10/A/42/M1/FULL_FEATURE,P3-08,CAP10,A,42,M1,FULL_FEATURE,,,7317,,"{""C"": 0.1}",0.5259707741173824,0.5458589606331079,docs/reports/phase3_p3_08_cap_sensitivities_2026-08-28.md,data/interim/phase3/p3_08_cap_sensitivities/cap10/a42/seed_42/test_metrics.csv,P3_08_CAP10_CAP5_SENSITIVITIES_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
CAP10/A/42/M2/FULL_FEATURE,P3-08,CAP10,A,42,M2,FULL_FEATURE,,,7317,,"{""learning_rate"": 0.1, ""max_iter"": 200, ""max_leaf_nodes"": 63}",0.8259593701274673,0.8200252358967275,docs/reports/phase3_p3_08_cap_sensitivities_2026-08-28.md,data/interim/phase3/p3_08_cap_sensitivities/cap10/a42/seed_42/test_metrics.csv,P3_08_CAP10_CAP5_SENSITIVITIES_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
CAP10/A/42/M3/FULL_FEATURE,P3-08,CAP10,A,42,M3,FULL_FEATURE,,,7317,,"{""C"": 10.0, ""max_features"": 50000}",0.9424253551666373,0.9435233709358036,docs/reports/phase3_p3_08_cap_sensitivities_2026-08-28.md,data/interim/phase3/p3_08_cap_sensitivities/cap10/a42/seed_42/test_metrics.csv,P3_08_CAP10_CAP5_SENSITIVITIES_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
CAP10/C/42/M1/FULL_FEATURE,P3-08,CAP10,C,42,M1,FULL_FEATURE,,,10343,,"{""C"": 0.1}",0.5710480101134449,0.4799380338008299,docs/reports/phase3_p3_08_cap_sensitivities_2026-08-28.md,data/interim/phase3/p3_08_cap_sensitivities/cap10/c42/seed_42/test_metrics.csv,P3_08_CAP10_CAP5_SENSITIVITIES_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
CAP10/C/42/M2/FULL_FEATURE,P3-08,CAP10,C,42,M2,FULL_FEATURE,,,10343,,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 63}",0.7632490735335254,0.694556522485315,docs/reports/phase3_p3_08_cap_sensitivities_2026-08-28.md,data/interim/phase3/p3_08_cap_sensitivities/cap10/c42/seed_42/test_metrics.csv,P3_08_CAP10_CAP5_SENSITIVITIES_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
CAP10/C/42/M3/FULL_FEATURE,P3-08,CAP10,C,42,M3,FULL_FEATURE,,,10343,,"{""C"": 10.0, ""max_features"": 25000}",0.844060871510485,0.8397789354590651,docs/reports/phase3_p3_08_cap_sensitivities_2026-08-28.md,data/interim/phase3/p3_08_cap_sensitivities/cap10/c42/seed_42/test_metrics.csv,P3_08_CAP10_CAP5_SENSITIVITIES_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
CAP5/A/42/M1/FULL_FEATURE,P3-08,CAP5,A,42,M1,FULL_FEATURE,,,6199,,"{""C"": 1.0}",0.5064158754503103,0.5307503322088282,docs/reports/phase3_p3_08_cap_sensitivities_2026-08-28.md,data/interim/phase3/p3_08_cap_sensitivities/cap5/a42/seed_42/test_metrics.csv,P3_08_CAP10_CAP5_SENSITIVITIES_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
CAP5/A/42/M2/FULL_FEATURE,P3-08,CAP5,A,42,M2,FULL_FEATURE,,,6199,,"{""learning_rate"": 0.1, ""max_iter"": 200, ""max_leaf_nodes"": 63}",0.7656680019700004,0.7697699402358061,docs/reports/phase3_p3_08_cap_sensitivities_2026-08-28.md,data/interim/phase3/p3_08_cap_sensitivities/cap5/a42/seed_42/test_metrics.csv,P3_08_CAP10_CAP5_SENSITIVITIES_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
CAP5/A/42/M3/FULL_FEATURE,P3-08,CAP5,A,42,M3,FULL_FEATURE,,,6199,,"{""C"": 10.0, ""max_features"": 50000}",0.9005750721372091,0.9044705988640558,docs/reports/phase3_p3_08_cap_sensitivities_2026-08-28.md,data/interim/phase3/p3_08_cap_sensitivities/cap5/a42/seed_42/test_metrics.csv,P3_08_CAP10_CAP5_SENSITIVITIES_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
CAP5/C/42/M1/FULL_FEATURE,P3-08,CAP5,C,42,M1,FULL_FEATURE,,,9174,,"{""C"": 0.01}",0.5685947053576637,0.4392589217584646,docs/reports/phase3_p3_08_cap_sensitivities_2026-08-28.md,data/interim/phase3/p3_08_cap_sensitivities/cap5/c42/seed_42/test_metrics.csv,P3_08_CAP10_CAP5_SENSITIVITIES_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
CAP5/C/42/M2/FULL_FEATURE,P3-08,CAP5,C,42,M2,FULL_FEATURE,,,9174,,"{""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 31}",0.7520624868942561,0.6498915074560473,docs/reports/phase3_p3_08_cap_sensitivities_2026-08-28.md,data/interim/phase3/p3_08_cap_sensitivities/cap5/c42/seed_42/test_metrics.csv,P3_08_CAP10_CAP5_SENSITIVITIES_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
CAP5/C/42/M3/FULL_FEATURE,P3-08,CAP5,C,42,M3,FULL_FEATURE,,,9174,,"{""C"": 10.0, ""max_features"": 25000}",0.8192943748355281,0.8001677099808294,docs/reports/phase3_p3_08_cap_sensitivities_2026-08-28.md,data/interim/phase3/p3_08_cap_sensitivities/cap5/c42/seed_42/test_metrics.csv,P3_08_CAP10_CAP5_SENSITIVITIES_PASSED_WITH_NONBLOCKING_ISSUES,34b12c77d54e4c2747d9539263fe57b6f7cf49f0,LEVEL_1_VERIFIED
UNCAPPED/C/42/M1/AB1,P3-10,UNCAPPED,C,42,M1,AB1,86931,18665,18558,34138ddc878dbbf33d585880624e0c6e022a362c2fcc66b3e121f89c75b504f5,"{""C"": 1.0}",0.07934793086715629,0.4680334666908792,docs/reports/phase3_p3_10_source_feature_ablations_2026-08-29.md,data/interim/phase3/p3_10_source_feature_ablations/ab1/test_metrics.csv,P3_10_SOURCE_FEATURE_ABLATIONS_PASSED_WITH_NONBLOCKING_ISSUES,4f1a906e5c4edec090905552956933d38266ca97,LEVEL_1_VERIFIED
UNCAPPED/C/42/M2/AB1,P3-10,UNCAPPED,C,42,M2,AB1,86931,18665,18558,34138ddc878dbbf33d585880624e0c6e022a362c2fcc66b3e121f89c75b504f5,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 31}",0.20074925256853485,0.6812529321363566,docs/reports/phase3_p3_10_source_feature_ablations_2026-08-29.md,data/interim/phase3/p3_10_source_feature_ablations/ab1/test_metrics.csv,P3_10_SOURCE_FEATURE_ABLATIONS_PASSED_WITH_NONBLOCKING_ISSUES,4f1a906e5c4edec090905552956933d38266ca97,LEVEL_1_VERIFIED
UNCAPPED/C/42/M1/AB2,P3-10,UNCAPPED,C,42,M1,AB2,86931,18665,18558,34138ddc878dbbf33d585880624e0c6e022a362c2fcc66b3e121f89c75b504f5,"{""C"": 0.01}",0.27386597749714714,0.492278638747073,docs/reports/phase3_p3_10_source_feature_ablations_2026-08-29.md,data/interim/phase3/p3_10_source_feature_ablations/ab2/test_metrics.csv,P3_10_SOURCE_FEATURE_ABLATIONS_PASSED_WITH_NONBLOCKING_ISSUES,4f1a906e5c4edec090905552956933d38266ca97,LEVEL_1_VERIFIED
UNCAPPED/C/42/M2/AB2,P3-10,UNCAPPED,C,42,M2,AB2,86931,18665,18558,34138ddc878dbbf33d585880624e0c6e022a362c2fcc66b3e121f89c75b504f5,"{""learning_rate"": 0.05, ""max_iter"": 100, ""max_leaf_nodes"": 63}",0.6457519287293172,0.6903117242958418,docs/reports/phase3_p3_10_source_feature_ablations_2026-08-29.md,data/interim/phase3/p3_10_source_feature_ablations/ab2/test_metrics.csv,P3_10_SOURCE_FEATURE_ABLATIONS_PASSED_WITH_NONBLOCKING_ISSUES,4f1a906e5c4edec090905552956933d38266ca97,LEVEL_1_VERIFIED
UNCAPPED/C/42/M1/AB3,P3-10,UNCAPPED,C,42,M1,AB3,86931,18665,18558,34138ddc878dbbf33d585880624e0c6e022a362c2fcc66b3e121f89c75b504f5,"{""C"": 0.01}",0.2870948043311763,0.5072778366933807,docs/reports/phase3_p3_10_source_feature_ablations_2026-08-29.md,data/interim/phase3/p3_10_source_feature_ablations/ab3/test_metrics.csv,P3_10_SOURCE_FEATURE_ABLATIONS_PASSED_WITH_NONBLOCKING_ISSUES,4f1a906e5c4edec090905552956933d38266ca97,LEVEL_1_VERIFIED
UNCAPPED/C/42/M2/AB3,P3-10,UNCAPPED,C,42,M2,AB3,86931,18665,18558,34138ddc878dbbf33d585880624e0c6e022a362c2fcc66b3e121f89c75b504f5,"{""learning_rate"": 0.1, ""max_iter"": 100, ""max_leaf_nodes"": 31}",0.6707607516026929,0.7003066162037688,docs/reports/phase3_p3_10_source_feature_ablations_2026-08-29.md,data/interim/phase3/p3_10_source_feature_ablations/ab3/test_metrics.csv,P3_10_SOURCE_FEATURE_ABLATIONS_PASSED_WITH_NONBLOCKING_ISSUES,4f1a906e5c4edec090905552956933d38266ca97,LEVEL_1_VERIFIED
UNCAPPED/C/42/M1/AB4,P3-10,UNCAPPED,C,42,M1,AB4,86931,18665,18558,34138ddc878dbbf33d585880624e0c6e022a362c2fcc66b3e121f89c75b504f5,"{""C"": 1.0}",0.6857742606520474,0.40866057749554285,docs/reports/phase3_p3_10_source_feature_ablations_2026-08-29.md,data/interim/phase3/p3_10_source_feature_ablations/ab4/test_metrics.csv,P3_10_SOURCE_FEATURE_ABLATIONS_PASSED_WITH_NONBLOCKING_ISSUES,4f1a906e5c4edec090905552956933d38266ca97,LEVEL_1_VERIFIED
